cell,port_name,port_direction,description
ipn5brk2adctop_adc_top,o_q0_qvt1_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt1_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt1_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt3_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt3_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt3_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt3_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt2_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt2_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt2_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt2_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt0_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt0_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt0_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt0_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt1_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt1_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt1_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt1_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt2_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt2_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt2_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt2_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt3_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt3_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt3_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q1_qvt3_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt0_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt0_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt0_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt0_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt1_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt1_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt1_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt1_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt2_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt2_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt2_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt2_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt3_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt3_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt3_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q2_qvt3_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt0_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt0_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt0_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt0_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt1_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt1_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt1_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt1_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt2_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt2_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt2_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt2_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt3_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt3_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt3_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q3_qvt3_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,i_ldo_ibias_50u_from_p<2:0>,input,
ipn5brk2adctop_adc_top,o_adc_logic_spare<3:0>,output,
ipn5brk2adctop_adc_top,o_adc_hsmon_next,output,
ipn5brk2adctop_adc_top,o_align_data_valid<63:0>,output,
ipn5brk2adctop_adc_top,o_allpwrgood_lgc,output,
ipn5brk2adctop_adc_top,i_ldo_th1_vref,input,
ipn5brk2adctop_adc_top,i_dco_hsmon,input,
ipn5brk2adctop_adc_top,i_50u_pd_from_n<1:0>,input,
ipn5brk2adctop_adc_top,i_ldo_clk_vref_stg1,input,
ipn5brk2adctop_adc_top,i_ldo_clk_vref_stg2,input,
ipn5brk2adctop_adc_top,i_ldo_ofc_vref_low,input,
ipn5brk2adctop_adc_top,i_ldo_vref_th2_boost,input,
ipn5brk2adctop_adc_top,i_ldo_ofc_vref_high,input,
ipn5brk2adctop_adc_top,dco_clkp,input,
ipn5brk2adctop_adc_top,dco_clkn,input,
ipn5brk2adctop_adc_top,ldo_vcc0p7,output,
ipn5brk2adctop_adc_top,i_allpwrgood_lgc,input,
ipn5brk2adctop_adc_top,o_allpwrgood_0p9,output,
ipn5brk2adctop_adc_top,o_adc_hsmon_local,output,
ipn5brk2adctop_adc_top,o_adc_sararray_dcmon_n,output,
ipn5brk2adctop_adc_top,o_adc_compmon_p,output,
ipn5brk2adctop_adc_top,odig_adc_read_data<31:0>,output,
ipn5brk2adctop_adc_top,o_adc_rstb,output,
ipn5brk2adctop_adc_top,o_adc_write_data_to_dco<31:0>,output,
ipn5brk2adctop_adc_top,o_adc_rstb_to_dco,output,
ipn5brk2adctop_adc_top,i_adc_read_data<31:0>,input,
ipn5brk2adctop_adc_top,idig_adc_write_data<31:0>,input,
ipn5brk2adctop_adc_top,o_adc_write_data<31:0>,output,
ipn5brk2adctop_adc_top,i_allpwrgood_bar_1p5,input,
ipn5brk2adctop_adc_top,o_adc_logic_clkdiv_vco_clk,output,
ipn5brk2adctop_adc_top,i_ldo_dac_vref,input,
ipn5brk2adctop_adc_top,i_prebuff_cm_out_vref<3:0>,input,
ipn5brk2adctop_adc_top,o_adc_compmon_n,output,
ipn5brk2adctop_adc_top,o_adc_sararray_dcmon_p,output,
ipn5brk2adctop_adc_top,i_ldo_dcodrv_stg2_fb,input,
ipn5brk2adctop_adc_top,o_ldo_dcodrv_stg2_g,output,
ipn5brk2adctop_adc_top,i_ldo_dcodrv_stg1_fb,input,
ipn5brk2adctop_adc_top,o_ldo_dcodrv_stg1_g,output,
ipn5brk2adctop_adc_top,i_lb_100u_summer_from_p,input,
ipn5brk2adctop_adc_top,i_ldo_dco_vref_stg2,input,
ipn5brk2adcfe_adcfe_top,description,description,
ipn5brk2adcfe_adcfe_top,in_n<3:0>,input,
ipn5brk2adcfe_adcfe_top,in_p<3:0>,input,
ipn5brk2adcfe_adcfe_top,vssx,input,
ipn5brk2adcfe_adcfe_top,wire_out_n<15:0>,output,
ipn5brk2adcfe_adcfe_top,wire_out_p<15:0>,output,
ipn5brk2adcfe_adcfe_top,o_ffe_read_data_mid_up<31:0>,output,
ipn5brk2adcfe_adcfe_top,o_adcfe_pi_prebuf_dcmonn,output,
ipn5brk2adcfe_adcfe_top,prebuff_voutp<3:0>,output,
ipn5brk2adcfe_adcfe_top,prebuff_voutn<3:0>,output,
ipn5brk2adcfe_adcfe_top,ldo_vcc0p9,input,
ipn5brk2adcfe_adcfe_top,i_prebuff_cm_in_vref,input,
ipn5brk2adcfe_adcfe_top,sumout_n<15:0>,output,
ipn5brk2adcfe_adcfe_top,vprk0p65,input,
ipn5brk2adcfe_adcfe_top,vcc1p5,input,
ipn5brk2adcfe_adcfe_top,i_all_power_good_0p9,input,
ipn5brk2adcfe_adcfe_top,ldo_v0p8_gate_driver,input,
ipn5brk2adcfe_adcfe_top,voutn<15:0>,output,
ipn5brk2adcfe_adcfe_top,voutp<15:0>,output,
ipn5brk2adcfe_adcfe_top,i_lb_100u_gm_from_p,input,
ipn5brk2adcfe_adcfe_top,o_adcfe_ffe_dcmonn,output,
ipn5brk2adcfe_adcfe_top,o_adcfe_hsmon_clka,output,
ipn5brk2adcfe_adcfe_top,i_lb_250u_prebuff_from_n<3:0>,input,
ipn5brk2adcfe_adcfe_top,i_ffe_broadcast_en,input,
ipn5brk2adcfe_adcfe_top,i_ffe_broadcast_strobe,input,
ipn5brk2adcfe_adcfe_top,ldo_v0p7_gate_driver,input,
ipn5brk2adcfe_adcfe_top,summer_vref1p5_clean,input,
ipn5brk2adcfe_adcfe_top,i_lb_100u_summer_from_p,input,
ipn5brk2adcfe_adcfe_top,i_lb_100u_summer_from_n,input,
ipn5brk2adcfe_adcfe_top,o_pi_clk<15:0>,output,
ipn5brk2adcfe_adcfe_top,o_pi_clk_buf<15:0>,output,
ipn5brk2adcfe_adcfe_top,ph0,input,
ipn5brk2adcfe_adcfe_top,ph180,input,
ipn5brk2adcfe_adcfe_top,ph90,input,
ipn5brk2adcfe_adcfe_top,ph270,input,
ipn5brk2adcfe_adcfe_top,i_ffe_strb_all_in,input,
ipn5brk2adcfe_adcfe_top,vcca_0p7_pi_fb,output,
ipn5brk2adcfe_adcfe_top,i_pi_prebuff_rstb,input,
ipn5brk2adcfe_adcfe_top,o_adcfe_pi_prebuf_dcmonp,output,
ipn5brk2adcfe_adcfe_top,i_pi_prebuff_add<4:0>,input,
ipn5brk2adcfe_adcfe_top,i_pi_prebuff_write_data<31:0>,input,
ipn5brk2adcfe_adcfe_top,sumout_p<15:0>,output,
ipn5brk2adcfe_adcfe_top,i_ffe_rstb,input,
ipn5brk2adcfe_adcfe_top,clk_th2<15:0>,output,
ipn5brk2adcfe_adcfe_top,i_ffe_add_domain_dis1,input,
ipn5brk2adcfe_adcfe_top,o_adcfe_ffe_dcmonp,output,
ipn5brk2adcfe_adcfe_top,vcc0p9,input,
ipn5brk2adcfe_adcfe_top,i_prebuff_cm_out_vref<3:0>,input,
ipn5brk2adcfe_adcfe_top,o_adcfe_hsmon_clkb,output,
ipn5brk2adcfe_adcfe_top,o_adcfe_pi_dcmon,output,
ipn5brk2adcfe_adcfe_top,i_lb_100u_prebuff_from_n<3:0>,input,
ipn5brk2adcfe_adcfe_top,i_ffe_write_data<31:0>,input,
ipn5brk2adcfe_adcfe_top,vcca_0p8_pi_fb,output,
ipn5brk2adcfe_adcfe_top,vcc0p65,input,
ipn5brk2adcfe_adcfe_top,i_pi_prebuff_add_domain_dis,input,
ipn5brk2adcfe_adcfe_top,i_vref_ffe_out_cm,input,
ipn5brk2adcfe_adcfe_top,i_pi_prebuff_strb_all_in,input,
ipn5brk2adcfe_adcfe_top,o_pi_prebuff_read_data<31:0>,output,
ipn5brk2adcfe_adcfe_top,i_ffe_add<4:0>,input,
ipn5brk2adcfe_adcfe_top,i_pi_0p8_byp_b,input,
ipn5brk2adcfe_adcfe_top,pi_mntr_en,input,
ipn5brk2adcfe_adcfe_top,i_ffe_add_domain_dis0,input,
ipn5brk2adcfe_adcfe_top,o_ldo_vcc_0p7_pi,inputOutput,
ipn5brk2adcfe_adcfe_top,i_pi_0p7_byp_b,input,
ipn5brk2adcfe_adcfe_top,o_ldo_vcc_0p8_pi,inputOutput,
ipn5brk2adcfe_adcfe_top,o_ffe_read_data_up<31:0>,output,
ipn5brk2adcfe_adcfe_top,o_ffe_read_data_mid_dn<31:0>,output,
ipn5brk2adcfe_adcfe_top,o_ffe_read_data_dn<31:0>,output,
ipn5brk2adcfe_summer_and_clk_route_top,description,description,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_13,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_11,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_1,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_7,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_4,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_0,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_12,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_0,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_8,output,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_7,output,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_3,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_5,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_9,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_2,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_10,output,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_6,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_12,output,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_15,output,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cn_out_14,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_1,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_13,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_8,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_11,output,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_10,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_2,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_14,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_6,output,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_10,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_7,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_9,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_0,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_5,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_9,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_5,output,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_3,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_15,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_2,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_n_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_8,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_4,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_3,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_p_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_14,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_p_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_p_6,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp1_n_12,input,
ipn5brk2adcfe_summer_and_clk_route_top,cm2_n_13,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_n_1,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp2_p_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,c0_p_11,input,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_15,output,
ipn5brk2adcfe_summer_and_clk_route_top,cp_out_4,output,
ipn5brk2adcfe_summer_and_clk_route_top,cm1_n_2,input,
